id,year,month,sales
1,2001,1,44.39524353
2,2001,2,47.69822511
3,2001,3,49.58708314
4,2001,4,50.70508391
5,2001,5,51.29287735
6,2001,6,67.15064987
7,2001,7,63.60916206
8,2001,8,60.34938765
9,2001,9,68.13147148
10,2001,10,69.5433803
11,2001,11,70.24081797
12,2001,12,72.59813827
13,2002,1,72.00771451
14,2002,2,73.10682716
15,2002,3,74.44158865
16,2002,4,75.86913137
17,2002,5,75.97850478
18,2002,6,76.33382843
19,2002,7,75.01355902
20,2002,8,77.27208592
21,2002,9,77.32176294
22,2002,10,79.82025085
23,2002,11,78.73995552
24,2002,12,77.71108771
25,2003,1,78.74960732
26,2003,2,79.13306689
27,2003,3,80.37787044
28,2003,4,80.53373118
29,2003,5,81.61863063
30,2003,6,83.53814921
31,2003,7,80.26464221
32,2003,8,84.04928517
33,2003,9,86.95125661
34,2003,10,86.43655755
35,2003,11,87.46815994
36,2003,12,88.49976233
37,2004,1,89.53136473
38,2004,2,90.56296712
39,2004,3,91.59456951
40,2004,4,92.62617191
41,2004,5,93.6577743
42,2004,6,94.68937669
43,2004,7,95.72097909
44,2004,8,96.75258148
45,2004,9,97.78418387
46,2004,10,98.81578627
47,2004,11,99.84738866
48,2004,12,100.8789911
49,2007,1,101.9105934
50,2007,2,102.9421958
51,2007,3,103.9737982
52,2007,4,105.0054006
53,2007,5,106.037003
54,2007,6,107.0686054
55,2007,7,108.1002078
56,2007,8,109.1318102
57,2007,9,110.1634126
58,2007,10,111.195015
59,2007,11,112.2266174
60,2007,12,113.2582198
61,2009,1,114.2898222
62,2009,2,115.3214246
63,2009,3,116.353027
64,2009,4,117.3846293
65,2009,5,118.4162317
66,2009,6,119.4478341
67,2009,7,120.4794365
68,2009,8,121.5110389
69,2009,9,122.5426413
70,2009,10,123.5742437
71,2009,11,124.6058461
72,2009,12,125.6374485
73,2011,1,126.6690509
74,2011,2,127.7006533
75,2011,3,128.7322557
76,2011,4,129.7638581
77,2011,5,130.7954605
78,2011,6,131.8270629
79,2011,7,132.8586652
80,2011,8,133.8902676
81,2011,9,134.92187
82,2011,10,135.9534724
83,2011,11,136.9850748
84,2011,12,138.0166772
85,2015,1,139.0482796
86,2015,2,140.079882
87,2015,3,141.1114844
88,2015,4,142.1430868
89,2015,5,143.1746892
90,2015,6,144.2062916
91,2015,7,145.237894
92,2015,8,146.2694964
93,2015,9,147.3010988
94,2015,10,148.3327012
95,2015,11,149.3643035
96,2015,12,150.3959059
97,2017,1,151.4275083
98,2017,2,152.4591107
99,2017,3,153.4907131
100,2017,4,154.5223155
101,2017,5,155.5539179
102,2017,6,156.5855203
103,2017,7,157.6171227
104,2017,8,158.6487251
105,2017,9,159.6803275
106,2017,10,160.7119299
107,2017,11,161.7435323
108,2017,12,162.7751347
109,2019,1,163.8067371
